"","Ho","Hs","Ht","Dst","Htp","Dstp","Fst","Fstp","Fis","Dest"
"sa5220",0.3995,0.4892,0.5669,0.0776,0.5755,0.0863,0.137,0.1499,0.1835,0.1689
"sa5229",0.8625,0.8461,0.9132,0.0671,0.9207,0.0745,0.0735,0.081,-0.0194,0.4844
"sa6002",0.4557,0.4913,0.6715,0.1802,0.6915,0.2002,0.2683,0.2895,0.0724,0.3936
"sa6012",0.6742,0.8137,0.8831,0.0694,0.8908,0.0771,0.0786,0.0866,0.1714,0.414
"sar80",0.7443,0.8495,0.9232,0.0738,0.9314,0.082,0.0799,0.088,0.1238,0.5446
"sar84",0.5743,0.6241,0.6894,0.0653,0.6966,0.0725,0.0947,0.1041,0.0798,0.193
"sarms0001",0.5616,0.6145,0.8162,0.2017,0.8386,0.2241,0.2471,0.2672,0.0862,0.5813
"sarms0344",0.4636,0.5114,0.6529,0.1415,0.6686,0.1573,0.2168,0.2352,0.0935,0.3218
"sarms0473",0.5655,0.6672,0.8068,0.1396,0.8224,0.1552,0.1731,0.1887,0.1524,0.4662
"sarms0506",0.2593,0.2807,0.3442,0.0635,0.3512,0.0705,0.1844,0.2008,0.0763,0.0981
"sarms0739",0.5475,0.5489,0.7209,0.1721,0.74,0.1912,0.2387,0.2583,0.0024,0.4238
"sarms0830",0.1733,0.1735,0.1978,0.0242,0.2005,0.0269,0.1225,0.1343,0.0012,0.0326
"sarms2770",0.2972,0.3141,0.4783,0.1643,0.4966,0.1825,0.3434,0.3675,0.0535,0.2661
"sarms3213",0.6479,0.855,0.9103,0.0554,0.9165,0.0615,0.0608,0.0671,0.2422,0.4242
"sarms3490",0.5208,0.5594,0.7051,0.1458,0.7213,0.162,0.2067,0.2245,0.0689,0.3675
"sarms3645",0.8314,0.8874,0.9426,0.0552,0.9487,0.0613,0.0586,0.0647,0.0631,0.5445
"sarms4015",0.7824,0.8944,0.9255,0.0311,0.929,0.0346,0.0337,0.0373,0.1252,0.3277
"sarms4354",0.1864,0.1901,0.2193,0.0292,0.2225,0.0324,0.1332,0.1458,0.0195,0.0401
"sarms4545",0.0839,0.0813,0.0841,0.0028,0.0844,0.0031,0.0336,0.0372,-0.0326,0.0034
"sarms4547",0.6663,0.8451,0.8569,0.0119,0.8583,0.0132,0.0139,0.0154,0.2116,0.0852
"sarms5185",0.5342,0.6146,0.7197,0.1051,0.7314,0.1168,0.1461,0.1597,0.1308,0.3031
"sarms5711",0.8335,0.9039,0.9305,0.0266,0.9335,0.0296,0.0286,0.0317,0.0779,0.3078
"sarms5839",0.8059,0.8607,0.8963,0.0356,0.9003,0.0396,0.0398,0.044,0.0637,0.2842
"sarms5968",0.6614,0.7793,0.8638,0.0846,0.8732,0.0939,0.0979,0.1076,0.1513,0.4256
"sarms6064",0.2604,0.2698,0.4803,0.2106,0.5037,0.234,0.4384,0.4644,0.0348,0.3204
"sarms6346",0.6529,0.8937,0.9398,0.046,0.9449,0.0512,0.049,0.0541,0.2695,0.4814
"sarms7111",0.812,0.8681,0.9229,0.0547,0.929,0.0608,0.0593,0.0655,0.0647,0.4612
